user_input,intent
What drink pairs best with onions?,asking for recommended pairings
What drink pairs best with pasta?,asking for recommended pairings
I want to cook something onions. Any ideas?,searching by cuisine type
What can I cook with tofu and cheese?,suggesting a new recipe
Can you suggest a side dish for pasta?,asking for recommended pairings
What are the instructions for preparing mushrooms?,asking for cooking steps
Show me a traditional Indian recipe.,searching by cuisine type
What goes well with pasta?,asking for recommended pairings
I don’t have rice. What should I replace it with?,requesting a substitute ingredient
What drink pairs best with rice?,asking for recommended pairings
Can you suggest something with garlic as the main ingredient?,requesting a recipe by ingredients
What can I use instead of cheese?,requesting a substitute ingredient
Can you give me a keto-friendly recipe?,requesting recipes by dietary preference
I have mushrooms at home. What can I cook?,requesting a recipe by ingredients
What’s the baking time for mushrooms?,asking for cooking time estimation
How difficult is it to prepare mushrooms?,asking for recipe difficulty level
What can I cook with onions and mushrooms?,suggesting a new recipe
Can beginners cook tomatoes?,asking for recipe difficulty level
Give me a dish idea using chicken.,suggesting a new recipe
Is there a good alternative for beef?,requesting a substitute ingredient
What goes well with chicken?,asking for recommended pairings
How many calories does chicken have?,inquiring about nutritional information
What’s the protein content in cheese?,inquiring about nutritional information
Do you have any Italian cuisine recipes?,searching by cuisine type
Can you tell me the cooking duration for tomatoes?,asking for cooking time estimation
What recipes can I make with pasta and mushrooms?,requesting a recipe by ingredients
Show me a traditional Indian recipe.,searching by cuisine type
What are the instructions for preparing beef?,asking for cooking steps
What can I use instead of onions?,requesting a substitute ingredient
What’s the protein content in garlic?,inquiring about nutritional information
I need a pasta meal idea.,requesting recipes by dietary preference
What drink pairs best with tomatoes?,asking for recommended pairings
How many calories does pasta have?,inquiring about nutritional information
Can you give me a keto-friendly recipe?,requesting recipes by dietary preference
I need inspiration for dinner. Any suggestions?,suggesting a new recipe
I have tomatoes at home. What can I cook?,requesting a recipe by ingredients
I need a tomatoes meal idea.,requesting recipes by dietary preference
I don’t have cheese. What should I replace it with?,requesting a substitute ingredient
Can you suggest something with tomatoes as the main ingredient?,requesting a recipe by ingredients
Is rice a healthy choice?,inquiring about nutritional information
I have onions at home. What can I cook?,requesting a recipe by ingredients
What drink pairs best with beef?,asking for recommended pairings
What goes well with pasta?,asking for recommended pairings
What can I use instead of garlic?,requesting a substitute ingredient
How long does it take to cook pasta?,asking for cooking time estimation
I don’t have beef. What should I replace it with?,requesting a substitute ingredient
Can you tell me the cooking duration for tofu?,asking for cooking time estimation
Show me a recipe suitable for a vegetarian diet.,requesting recipes by dietary preference
What’s the protein content in onions?,inquiring about nutritional information
Is chicken hard to make?,asking for recipe difficulty level
I want to cook something tomatoes. Any ideas?,searching by cuisine type
What drink pairs best with tomatoes?,asking for recommended pairings
What are the instructions for preparing garlic?,asking for cooking steps
What recipes can I make with cheese and tofu?,requesting a recipe by ingredients
Is pasta hard to make?,asking for recipe difficulty level
Can you tell me the cooking duration for onions?,asking for cooking time estimation
What’s the protein content in onions?,inquiring about nutritional information
I have rice at home. What can I cook?,requesting a recipe by ingredients
I need inspiration for dinner. Any suggestions?,suggesting a new recipe
Can you suggest a side dish for beef?,asking for recommended pairings
How long does it take to cook tomatoes?,asking for cooking time estimation
I have beef at home. What can I cook?,requesting a recipe by ingredients
How long does it take to cook garlic?,asking for cooking time estimation
How do I make onions from scratch?,asking for cooking steps
How many calories does tomatoes have?,inquiring about nutritional information
I don’t have tofu. What should I replace it with?,requesting a substitute ingredient
How many calories does pasta have?,inquiring about nutritional information
Give me a dish idea using onions.,suggesting a new recipe
What’s the protein content in rice?,inquiring about nutritional information
What are the instructions for preparing beef?,asking for cooking steps
Is beef a healthy choice?,inquiring about nutritional information
Is there a good alternative for pasta?,requesting a substitute ingredient
What recipes can I make with mushrooms and chicken?,requesting a recipe by ingredients
What’s the baking time for chicken?,asking for cooking time estimation
What goes well with beef?,asking for recommended pairings
What goes well with cheese?,asking for recommended pairings
Give me a dish idea using tomatoes.,suggesting a new recipe
Can you tell me the cooking duration for mushrooms?,asking for cooking time estimation
Give me a dish idea using tomatoes.,suggesting a new recipe
What drink pairs best with beef?,asking for recommended pairings
Can beginners cook garlic?,asking for recipe difficulty level
What’s the protein content in pasta?,inquiring about nutritional information
I want to cook something onions. Any ideas?,searching by cuisine type
Can beginners cook cheese?,asking for recipe difficulty level
Do you have any Mexican cuisine recipes?,searching by cuisine type
I need inspiration for dinner. Any suggestions?,suggesting a new recipe
Can you provide a step-by-step guide for chicken?,asking for cooking steps
Can you give me a vegan-friendly recipe?,requesting recipes by dietary preference
I need inspiration for dinner. Any suggestions?,suggesting a new recipe
