id,name,description,ingredients,ingredients_raw_str,serving_size,servings,steps,tags,search_terms
56594,Sun-Dried Tomato Palmiers,"from ""INVITATION TO DINNER"" cookbook","['garlic cloves', 'pesto sauce', 'frozen puff pastry', 'fontina', 'parmigiano-reggiano cheese', 'sun-dried tomato', 'fresh ground black pepper']","[""2       garlic cloves, peeled and finely minced "",""1/2  cup   prepared pesto sauce (available in the refrigerator cases of most markets)"",""1 (17 1/4  ounce) package   frozen puff pastry or 2   sheets    frozen puff pastry, defrosted "",""1   cup   grated fontina"",""1/4  cup   finely grated parmigiano-reggiano cheese"",""1/2  cup   finely minced sun-dried tomato (rehydrated in hot water for 5-8 minutes, if not packed in oil)"",""4   pinches    fresh ground black pepper""]",1 (675 g),1,"['Preheat the oven to 350 degrees F.', 'Stir the minced garlic into the prepared pesto.', 'Unfold the pastry sheets and on a lightly floured board roll them slightly with a rolling pin to make a rectangle that measures 11 by 12 inches.', 'Cut each pastry sheet in half lengthwise.', 'Spread 1/4 of the pesto (2 tablespoons) over the entire surface of each pastry sheet.', 'Divide and sprinkle the cheeses and sun-dried tomatoes over the pesto on each pastry sheet and season each with a pinch of pepper.', 'Tightly roll each sheet, starting at a long side, into a 1-inch-wide log.', 'Using a sharp serrated knife, cut each log into about twenty-four 1/2-inch slices and place then on ungreased baking sheets 1 1/2 inches apart.', '(The palmiers may be baked right away or refrigerated for up to 2 days. The unbaked palmiers can be frozen, covered, for up to 2 weeks.) If frozen, defrost the palmiers in the refrigerator before baking.', 'Bake the palmiers in the preheated oven for 10-15 minutes, until golden brown.', 'Let them cool for 3 minutes on the baking sheets, then transfer them to cooling racks.']","['60-minutes-or-less', 'time-to-make', 'course', 'preparation', 'appetizers', 'dietary', 'number-of-servings']",{'appetizer'}
311362,Char Siu Pork Corn and Bok Choy Stir Fry,"Here is another wok recipe I like stir fry's as they are quick, easy and reasonably priced to prepare and they are a great way to use up your left over vegetables in a nutritious meal. I served as is but it would go well with steamed rice, as I said yesterday we are watching our carb intake at the moment. This again would serve 3 good portions 4 smaller ones as is, or 4 good portions if served with rice.

Note: Char Siu Sauce also know as chinese BBQ sauce. It is a paste like ingredient that is dark-red-brown in colour and has a sweet and spicy flavour. Made from fermented soy beans, honey and various spices.","['peanut oil', 'pork fillets', 'garlic cloves', 'red chilies', 'onion', 'soy sauce', 'lime juice', 'carrot', 'baby corn', 'baby bok choy', 'snow peas', 'bean sprouts', 'char siu sauce']","[""2   tablespoons    peanut oil"",""600   g    pork fillets, sliced thinly "",""2       garlic cloves, crushed "",""2       red chilies, chopped finely  (add as many or as few seeds as you want.)"",""1       onion, sliced thinly "",""1   tablespoon    soy sauce"",""2   teaspoons    lime juice"",""1       carrot, cut into matchsticks "",""120   g    baby corn, halved "",""300   g    baby bok choy, chopped coarsley "",""50   g    snow peas, trimmed "",""120   g    bean sprouts"",""4   tablespoons    char siu sauce""]",1 (364 g),4,"['Heat 1 tabelspoon of oil in a wok and cook pork until browned all over, remove, set to one side.', ""Heat remaining oil in same wok add onion, garlic and chili stir fry a couple of Min's until onion softens, add soy, lime juice and carrot stir fry 1 minute."", 'Return pork to pan, stir fry 1 minute more, add bok choy, corn and char siu sauce, stir fry a couple of minutes, add peas and sprouts, stir fry until vegetables are just tender and heated through.', 'To Serve: Serve as is for a low carb meal or over rice.']","['60-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'main-dish', 'pork', 'asian', 'meat', 'pork-loins']","{'pork', 'dinner'}"
248335,Black Cat Fudge,These adorable fudge peices will be a huge hit with the kids.,"['semisweet chocolate', 'butter', 'light corn syrup', 'whipping cream', 'vanilla', 'salt', 'icing sugar', 'white chocolate chips', 'black food coloring']","[""8   ounces    semisweet chocolate, coarsely chopped "",""1/4  cup    butter"",""1/3  cup    light corn syrup"",""1/4  cup    whipping cream"",""1   teaspoon    vanilla"",""1/4  teaspoon    salt"",""4 1/2  cups    icing sugar, sifted "",""30       white chocolate chips"",""  black food coloring (gel)""]",1 (42 g),24,"['Line 11x7 inches pan with foil, extending foil beyond edges of pan; grease foil.', 'Melt chocolate and butter in saucepan over low heat; stir in corn syrup, cream, vanilla and salt.', 'Remove from heat and gradually stir in powdered sugar until smooth.', 'Add food coloring to desired color.', 'Spread evenly in prepared pan.', 'Refrigerate until firm, 1 to 2 hours', 'Using foil as handles, remove fudge from pan; peel off foil.', 'Using cat cookie cutters cut out cat shapes in fudge.', 'Place 2 vanilla milk chips on each cat for eyes.', 'Score feet to make claws.', 'Cover; refrigerate until ready to serve.']","['time-to-make', 'course', 'preparation', 'occasion', 'for-large-groups', 'fudge', 'desserts', 'holiday-event', 'candy', 'dietary', 'halloween', 'number-of-servings', '4-hours-or-less']",{'dessert'}
102357,Hot Pickled Vegetable Medley,"This has such a colorful presentation and so good! When I was small, my Dad came home from a trip to Texas with a gallon of these pickles. It has taken me years to replicate the the flavors I remember. It may not be exact but it's close! =)","['carrots', 'cauliflower', 'jalapeno peppers', 'habanero peppers', 'pickling salt', 'cold water', 'water', 'white vinegar', 'cider vinegar', 'sugar', 'pickling salt', 'prepared horseradish', 'garlic']","[""4   lbs    carrots, cut into slices "",""2   heads    cauliflower, separated into florets "",""4   cups    jalapeno peppers, with 4 slits in each "",""24       habanero peppers, with 4 slits in each "",""1   cup    pickling salt"",""  cold water"","""",""2   cups    water"",""2 1/2  cups    white vinegar"",""2 1/2  cups    cider vinegar"",""3/4  cup    sugar"",""1   cup    pickling salt"",""3   tablespoons    prepared horseradish"",""3   teaspoons   minced garlic""]",1 (90 g),76,"['In a medium bowl, add carrots sprinkle with 1/4 cup of pickling salt and cover with cold water.', '(Keep carrots separate or they will tint the cauliflower orange).', 'Add cauliflower and jalapeño peppers in a separate bowl.', 'Sprinkle with 3/4 cup pickling salt and cover with cold water.', 'Let these set for 1 hour.', 'Drain and rinse vegetables.', 'Bring brine to a boil.', 'Let simmer for 5 minutes.', 'Sterilize 14 pint or 7 quart jars and lids.', 'Into each hot jar layer the vegetables in order of:', 'Carrots, 2-3 red habanaros, cauliflower and 3-4 green jalapeños.', '(Repeat for quart jars).', 'Top with hot brine (stir brine occasionally to distribute the garlic).', 'Seal with hot lids and process in a hot water bath for 10 minutes.', 'Let set for at least two week before using.']","['time-to-make', 'course', 'main-ingredient', 'preparation', 'occasion', 'for-large-groups', 'low-protein', 'healthy', 'jams-and-preserves', 'canning', 'condiments-etc', 'vegetables', 'fall', 'low-fat', 'summer', 'dietary', 'low-cholesterol', 'seasonal', 'low-saturated-fat', 'low-calorie', 'low-carb', 'low-in-something', 'carrots', 'cauliflower', 'peppers', 'number-of-servings', 'technique', 'water-bath', '4-hours-or-less']","{'healthy', 'low-fat', 'low-calorie', 'low-carb'}"
195095,Shopska Salad,The salad is named after the people living in the Sofia area in Bulgaria (the shopi). It's a great salad and easy to prepare.,"['tomatoes', 'onions', 'cucumber', 'red bell peppers', 'extra virgin olive oil', 'vinegar', 'chili peppers', 'parsley', 'salt', 'feta cheese', 'black olives']","[""4   big    tomatoes or 6   medium    tomatoes, chopped "",""1   small   chopped onions or 1/2  large    onion"",""1       cucumber, chopped "",""2      grilled red bell peppers, chopped "",""4   tablespoons    extra virgin olive oil"",""1   tablespoon    vinegar"",""4       chili peppers"",""4   sprigs    parsley (to garnish)"",""  salt"",""  feta cheese"",""  black olives""]",1 (235 g),4,"['Combine all ingredients except parsley and feta cheese.', 'If individual servings are preferred, pack a coffee cup and turn it upside down on the plate.', 'Grate feta cheese on top and decorate with a parsley sprig.', 'Put a few olives around.']","['15-minutes-or-less', 'time-to-make', 'course', 'preparation', 'low-protein', 'healthy', 'salads', 'easy', 'dietary', 'low-sodium', 'low-cholesterol', 'low-saturated-fat', 'low-calorie', 'low-carb', 'healthy-2', 'low-in-something']","{'low-calorie', 'low-sodium', 'salad', 'healthy', 'low-carb'}"
137875,Da Best Guacamole!,"It took alot of adding and substituting ingredients to get this guacamole recipe just the way I like it!  Hope you enjoy, everyone else seems too!","['avocados', 'white onions', 'tomatoes', 'cilantro', 'mayonnaise', 'sour cream', 'chili powder', 'salt', 'lime juice']","[""2       avocados"",""1/4  cup   diced white onions or 1/4  cup    red onion"",""1/2     finely diced tomatoes"",""1/4  cup   chopped cilantro"",""1   tablespoon    mayonnaise"",""2   tablespoons    sour cream"",""1   teaspoon    chili powder (or 1/2 finely chopped and seeded jalapeno pepper)"",""1/2  teaspoon    salt"",""2   tablespoons    lime juice""]",1 (71 g),6,"['Cut avocadoes, remove pit and scoop out --place into medium sized bowl.', 'Mash avocado well with fork.', 'Add remaining ingredients and mix well.', 'Serve chilled with Tortilla chips.', 'Enjoy!', 'Note: This dip is better chunky, so resist the temptation of sticking everything in a food processor!']","['15-minutes-or-less', 'time-to-make', 'course', 'cuisine', 'preparation', 'north-american', 'low-protein', 'appetizers', 'mexican', 'easy', 'central-american', 'beginner-cook', 'dips', 'dietary', 'low-carb', 'low-in-something']","{'appetizer', 'mexican', 'low-carb'}"
290415,Oven Baked Onion Rings (Weight Watchers),This recipe came out of a weight watchers cookbook. 2 points per serving,"['all-purpose flour', 'all-purpose flour', 'salt', 'cayenne pepper', 'onion', 'egg whites', 'dried breadcrumbs']","[""1/4  cup    all-purpose flour"",""2   tablespoons    all-purpose flour"",""1/2  teaspoon    salt"",""1/8  teaspoon    cayenne pepper"",""1   large    onion, cut into 1/4-inch slices "",""3       egg whites, lightly beaten "",""1   cup   plain dried breadcrumbs""]",1 (67 g),6,"[""Preheat oven to 400'."", 'Line a baking sheet with foil and spray with Pam cooking spray.', 'In a medium bowl add egg whites.', 'In a plasic baggie or on wax paper, add flour,salt and cayenne pepper.', 'Place bread crumbs in a separate dish or on wax paper.', 'Separate onion slices in rings, dip in flour mixture and toss to coat than into egg mixture and into bread crumbs and place on baking sheet.', 'Bake 10 minutes or until lightly browned.', 'Turn rings over and bake 5-10 minutes longer or until lightly brown.', 'Serve hot.']","['30-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'preparation', 'healthy', 'side-dishes', 'vegetables', 'easy', 'low-fat', 'dietary', 'low-cholesterol', 'low-saturated-fat', 'healthy-2', 'low-in-something', 'onions']","{'healthy', 'side', 'low-fat', 'baked'}"
304627,Microwave Corn on the Cob,"Simple and quick. Different from the other recipes in that the corn is wrapped in wax paper.  Adjustable to any reasonable amount of corn.  Would be ideal for someone cooking for one or two.  From Kraft Food + Family.  The butter is listed as an optional ingredient since you really don't need it, but I enjoy melting a huge blob of it on my corn after it's done :-)","['corn', 'butter']","[""4   ears    corn"",""4   tablespoons    butter""]",1 (132 g),4,"['Shuck fresh corn.  Wrap each ear in wax paper.', 'Microwave for 2 minutes per ear of corn.  (For 4 ears, 8 minutes.)  Remove from microwave, open carefully, and enjoy.  I like to top mine with salt and butter, the magazine suggested a sprinkle of Parmesan cheese and lime juice.', 'To keep them warm awhile, leave wrapped and cover with a kitchen towel :-).']","['15-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'preparation', 'healthy', '5-ingredients-or-less', 'side-dishes', 'vegetables', 'easy', 'microwave', 'beginner-cook', 'low-fat', 'dietary', 'low-sodium', 'low-cholesterol', 'low-saturated-fat', 'low-calorie', 'low-in-something', 'corn', 'equipment', '3-steps-or-less']","{'low-calorie', 'low-sodium', 'healthy', 'side', 'low-fat'}"
105932,Creamy Baked Fish Fillets,It just can't get much easier than this!,"['butter', 'fish fillets', 'salt', 'tabasco sauce', 'paprika', 'parmesan cheese', 'sour cream', 'dry breadcrumbs']","[""4   teaspoons    butter"",""2   lbs    fish fillets (sole, haddock, cod, whiting, tilapia or flounder)"",""1   teaspoon    salt"",""1/2  teaspoon    Tabasco sauce"",""1   tablespoon    paprika"",""1/4  cup    parmesan cheese"",""1   cup    sour cream"",""1/4  cup    dry breadcrumbs""]",1 (305 g),4,"['Grease a casserole with 1 teaspoon butter and arrange the fish in the baking dish.', 'Blend the salt, hot sauce, paprika and Parmesan cheese with the sour cream and spread the cream over the fish.', 'Top with the breadcrumbs and dot with the remaining three teaspoons of butter.', 'Bake, uncovered, at 350°F for about 30 minutes, or until the fish flakes easily with a fork.']","['60-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'preparation', 'occasion', 'very-low-carbs', 'lunch', 'main-dish', 'seafood', 'easy', 'dinner-party', 'fish', 'dietary', 'high-protein', 'low-carb', 'high-in-something', 'low-in-something', 'saltwater-fish', 'cod', 'tilapia', 'brunch']","{'lunch', 'baked', 'low-carb', 'fish', 'dinner'}"
259133,Peach Frozen Yogurt,"The tartness of yogurt accents the delicate sweetness of peaches in this fresh-tasting frozen yogurt. 
Freezing time included in cooking time","['white peaches', 'vanilla yogurt', 'honey']","[""3   cups    white peaches or 3   cups   yellow peaches, peeled and finely chopped "",""5 (6   ounce) cartons   vanilla yogurt"",""1/4  cup    honey""]",1 (117 g),12,"['Place 1 1/2 cups of the peaches in food processor or blender. Add yogurt and honey. Cover and process or blend until smooth. (If using blender, blend mixture half at a time.) Stir in remaining peaches. Pour mixture into 9x9x2-inch freezer-proof container. Cover and freeze about 4 hours or until firm.', 'Break frozen mixture into small chunks and place in chilled large bowl.  Beat with electric mixer on low to medium speed until mixture is smooth but not melted. Return mixture to container.', 'Cover and freeze for at least 6 hours or until firm. Let frozen yogurt stand at room temperature for 10 to 20 minutes before serving.']","['course', 'main-ingredient', 'preparation', 'occasion', 'low-protein', '5-ingredients-or-less', 'very-low-carbs', 'desserts', 'fruit', 'easy', 'kid-friendly', 'summer', 'frozen-desserts', 'freezer', 'dietary', 'low-sodium', 'low-cholesterol', 'seasonal', 'low-saturated-fat', 'low-calorie', 'low-carb', 'low-in-something', 'pitted-fruit', 'peaches', 'equipment', '3-steps-or-less']","{'dessert', 'low-calorie', 'low-sodium', 'low-carb'}"
